SOURCE;FAMILLE;EXISTE;FONCTIONNE;METHODE_ACTUELLE;COUVERTURE;PROBLEMES;VALEUR_AJOUTEE_POTENTIELLE;METHODE_RECOMMANDEE;PRIORITE;ACTION
CURIUM;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
DAIICHI_SANKYO;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
DECHRA;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
EFFIK_BENELUX;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
GE_HEALTHCARE;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
GRUNENTHAL;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
GUERBET;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
IJSFABRIEK_STROMBEEK;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
KELA_VETERINARIA;employeur direct;OUI;OUI;registry;"1 actives / 1 vues ; 1 avec description";;;;;
LUNDBECK;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
MENARINI;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
EUROFINS;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
NORMEC;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
ALS_GLOBAL;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
CELABOR;academique / recherche;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
SIRRIS;academique / recherche;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
CRM_GROUP;academique / recherche;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
PURATOS;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
BARRY_CALLEBAUT;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
COLRUYT;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
PROCTER_GAMBLE;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
DANONE_BE;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
VANDEMOORTELE;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
CARGILL_BE;employeur direct;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
SAINT_LUC;sante;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
UZ_BRUSSEL;sante;OUI;OUI;backlog_validator_v14;"2 actives / 2 vues ; 0 avec description";;;;;
CHIREC;sante;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
SCIENSANO_RESEARCH;academique / recherche;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
ULB_JOBS;academique / recherche;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
VUB_JOBS;academique / recherche;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
UCLOUVAIN_JOBS;academique / recherche;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
EURAXESS_BE;academique;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
STIB_MIVB;public / parapublic;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
BRUSSELS_AIRPORT;public / parapublic;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
AVIAPARTNER;public / parapublic;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
BPOST;public / parapublic;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
SNCB_NMBS;public / parapublic;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
INFRABEL;public / parapublic;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
DE_WATERGROEP;public / parapublic;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
KONVERT;interim / recrutement;OUI;OUI;backlog_validator_v14;"5 actives / 5 vues ; 5 avec description";;;;;
ACCENT_JOBS;interim / recrutement;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
ACTIEF_INTERIM;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
UNIQUE_BE;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
BRIGHT_PLUS;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
SECRETARY_PLUS;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
HAYS_BE;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
WALTERS_PEOPLE;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
PAGE_PERSONNEL;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
ASAP_BE;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
FORUM_JOBS;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
ABSOLUTE_JOBS;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
T_INTERIM;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
SDWORX_STAFFING;interim / recrutement;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
JOBSTUDENT_BE;etudiant;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
KONVERT_STUDENT;etudiant;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
TEMPO_TEAM_STUDENT;etudiant;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
ACCENT_STUDENT;etudiant;OUI;OUI;backlog_validator_v14;"1 actives / 1 vues ; 1 avec description";;;;;
ASAP_STUDENT;etudiant;OUI;INCONNU (jamais collectee);backlog_validator_v14;-;declaree mais jamais une offre en base;;;;
RECRUITEE;ATS;OUI;OUI;registry_ats_v1;"105 actives / 106 vues ; 98 avec description";;;;;
GREENHOUSE;ATS;OUI;OUI;registry_ats_v1;"44 actives / 44 vues ; 44 avec description";;;;;
WORKDAY_ATS;ATS;OUI;INCONNU (jamais collectee);registry_ats_v1;377 offres BE validees;declaree mais jamais une offre en base;;;;
SUCCESSFACTORS_ATS;ATS;OUI;INCONNU (jamais collectee);registry_ats_v1;0 offres BE validees;declaree mais jamais une offre en base;;;;
PHENOM_ATS;ATS;OUI;INCONNU (jamais collectee);registry_ats_v1;0 offres BE validees;declaree mais jamais une offre en base;;;;
VDAB;service public;OUI;DESACTIVEE (INCONNU (jamais collectee));registry_ats_v1;-;"pages JS ; API interdite par robots ; desactive";;;;
LEVER;ATS;OUI;"VALIDE (decouverte) ; 1 employeurs";registry_expansion_v1;3 offres BE validees;;;;;
ASHBY;ATS;OUI;"VALIDE (decouverte) ; 1 employeurs";registry_expansion_v1;1 offres BE validees;;;;;
WORKABLE;ATS;OUI;"NOUVEAU ; aucun employeur encore";registry_expansion_v1;-;;;;;
PERSONIO;ATS;OUI;"VALIDE (decouverte) ; 4 employeurs";registry_expansion_v1;7 offres BE validees;;;;;
JSONLD_SITES;universel;OUI;"VALIDE (decouverte) ; 18 employeurs";registry_expansion_v1;58 offres BE validees;;;;;
VDAB (direct);service public;PARTIEL;NON;"sitemap public (pages vides, JS ; /api interdit par robots.txt)";"0 direct ; 8 874 via Actiris (republication)";API officielle sur cles (ibm-api-key);tres elevee : ~40 % des offres belges;"API officielle VDAB (demande de cles partenaire) ; en attendant republication Actiris";1;"Demander un acces API VDAB ; conserver la voie Actiris VDAB_FOREM"
EURES;international;NON;-;-;0;"portail JS ; API interne non documentee";moyenne : beaucoup de doublons Forem/VDAB/Actiris;EURES Job Vacancy API (acces institutionnel) ou decouverte via Actiris/Forem;3;"Suivre ; pas de voie publique propre aujourd'hui"
LinkedIn Jobs;job board;NON;-;-;0;"conditions d'utilisation interdisent la collecte automatisee ; anti-bot";elevee en decouverte (URL employeur), faible en canonique;"decouverte seulement : URL de candidature externe -> ATSDetector ; jamais de scraping";2;"Ne pas scraper ; utiliser LinkedIn comme signal de decouverte manuel (coller une URL)"
Indeed Belgique;job board;NON;-;-;0;anti-bot (Cloudflare), pas d'API publique;elevee en volume, faible en unique (republication);"URL de candidature externe -> ATSDetector ; fournisseur externe en dernier recours";3;"Pas de scraper artisanal ; Apify/Zyte seulement si mesure cost_per_unique_job le justifie"
StepStone Belgique;job board;NON;-;-;"0 direct ; present via Forem/Actiris partenaires";"anti-bot ; republie ses offres vers Forem/Actiris";moyenne;"republication Forem/Actiris (deja absorbee) ; JSON-LD sur pages si accessibles";3;Rien a faire : couvert indirectement par l'absorption complete
Jobat (direct);job board;OUI;NON;cache uniquement (HTTP 403 verifie);"901 en cache ; 158/400 offres Forem partenaires viennent de Jobat";403 anti-bot;moyenne;"republication Forem/Actiris (absorbee) ; ne pas contourner";3;"Garder CACHE_ONLY ; couvert par Forem/Actiris"
Jooble / Adzuna / Careerjet;agregateur API;OUI;NON;API officielles, cles absentes;0;NEEDS_CREDENTIALS;"moyenne : agregateurs, beaucoup de doublons ; Adzuna/Careerjet donnent des descriptions";cles gratuites (formulaire en ligne);2;L'utilisateur cree les cles (gratuites) et les met dans sources/api_credentials.py
Talent.com / Monster / Glassdoor / Jobrapido / Jobsora / GrabJobs;agregateur;NON;-;-;0;"pas d'API publique ; agregateurs de republication";faible en unique;"aucune ; ils republient ce que l'on absorbe deja";4;Ignorer
Federgon (annuaire);decouverte;NON;-;-;-;-;elevee : petites agences regionales;annuaire -> domaines -> source_discovery_v1;2;Etape suivante : extraire l'annuaire en graines de decouverte
BCE/KBO;decouverte;NON;-;-;-;pas de site web dans l'open data BCE;tres elevee a terme;open data BCE -> noms -> domaines (recherche) -> source_discovery_v1;3;Apres Federgon, quand la decouverte est stable
Student.be / StudentJob / NOWJOBS;etudiant;PARTIEL;OUI;HTML (student_sources_v1);faible;pages HTML;moyenne;JSON-LD si present (JSONLD_SITES);3;Passer les hotes au moteur de decouverte
ATS CVWAREHOUSE;ATS sans connecteur;DETECTE;NON;-;7 employeurs detectes : Provincieantwerpen, Vlaamsbrabant, Hogent, Thomasmore, Azturnhout, Vivalia;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;2;ecrire le connecteur generique, brancher via ats_signatures.json
ATS ORACLE_CLOUD;ATS sans connecteur;DETECTE;NON;-;5 employeurs detectes : Mil, Aperam, Carmeuse, Euroclear, Telenet;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;2;ecrire le connecteur generique, brancher via ats_signatures.json
ATS BULLHORN;ATS sans connecteur;DETECTE;NON;-;4 employeurs detectes : Manpower, Jeffersonwells, Selecthr, Experis;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;2;ecrire le connecteur generique, brancher via ats_signatures.json
ATS ICIMS;ATS sans connecteur;DETECTE;NON;-;4 employeurs detectes : Jandenul, Pepsico, Bdo, Axa;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;2;ecrire le connecteur generique, brancher via ats_signatures.json
ATS RADANCY;ATS sans connecteur;DETECTE;NON;-;3 employeurs detectes : Sanofi, Cargill, Ing;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;2;ecrire le connecteur generique, brancher via ats_signatures.json
ATS CARERIX;ATS sans connecteur;DETECTE;NON;-;2 employeurs detectes : Talentus, Caritasinternational;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
ATS CORNERSTONE;ATS sans connecteur;DETECTE;NON;-;2 employeurs detectes : Werkenvoorvlaanderen, Proximus;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
ATS AVATURE;ATS sans connecteur;DETECTE;NON;-;2 employeurs detectes : Takeda, Totalenergies;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
ATS EIGHTFOLD;ATS sans connecteur;DETECTE;NON;-;2 employeurs detectes : Astrazeneca, Amgen;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
ATS TALEO;ATS sans connecteur;DETECTE;NON;-;1 employeurs detectes : Uzleuven;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
ATS BRASSRING;ATS sans connecteur;DETECTE;NON;-;1 employeurs detectes : Thermofisher;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
ATS TALENTSOFT;ATS sans connecteur;DETECTE;NON;-;1 employeurs detectes : Kpmg;connecteur a ecrire;un connecteur = tous ces employeurs;endpoint JSON interne ou sitemap + HTML;3;ecrire le connecteur generique, brancher via ats_signatures.json
